"","Treatment","Mediator","Outcome","ACME_estimate","ADE_estimate","ACME_pval","ADE_pval","ACME_adjpval","ADE_adjpval","ACME_CI_lower","ACME_CI_upper","ADE_CI_lower","ADE_CI_upper"
"1","Phenotype","Enterobacteriaceae_Cronobacter","Diet",0.0124363756049604,0.0472528521722983,0.016,0.128,0.992,0.128,0.00092626538295269,0.0329744624226587,-0.0145983434216478,0.108384217341693
"2","Phenotype","Bacteroidaceae_Bacteroides","Diet",0.00883110627638678,0.0501175954518231,0.052,0.09,0.992,0.0910843373493976,-4.03568049871817e-05,0.0239958892635807,-0.00771446413201031,0.109768665556868
"3","Phenotype","Lachnospiraceae_Eisenbergiella","Diet",0.00956474024594014,0.0503729412859167,0.074,0.068,0.992,0.0784,-0.000608626992288318,0.0269679307589728,-0.00458453109587809,0.117737065775391
"4","Phenotype","Clostridiaceae_Alkaliphilus","Diet",0.00878019505085805,0.0505935458861687,0.112,0.076,0.992,0.0818461538461538,-0.00143328012310975,0.0265627070815538,-0.00503533072089534,0.108817658732106
"5","Phenotype","Bacillaceae_Bacillus","Diet",0.00730228170892432,0.0514735290193682,0.156,0.064,0.992,0.0784,-0.00169307898145644,0.0232030066474804,-0.00532329339442154,0.109670723391001
"6","Phenotype","Odoribacteraceae_Butyricimonas","Diet",0.00766218011686202,0.0508826320578159,0.17,0.084,0.992,0.0871111111111111,-0.00263176103215459,0.0234070422777875,-0.00400915851732656,0.106940798875322
"7","Phenotype","Desulfovibrionaceae_Bilophila","Diet",0.00837432210726849,0.0508542805431438,0.186,0.09,0.992,0.0910843373493976,-0.00341936028111148,0.0240318318812994,-0.0091502426805832,0.111180757213021
"8","Phenotype","Erysipelotrichaceae_Turicibacter","Diet",-0.00600212257656907,0.0650988356855185,0.198,0.02,0.992,0.0749538461538462,-0.0176199849746548,0.00226239524953985,0.00926236311466951,0.121952475948563
"9","Phenotype","Bifidobacteriaceae_Bifidobacterium","Diet",0.00604980076884833,0.0526935077098338,0.202,0.056,0.992,0.0749538461538462,-0.00244136346176879,0.0183202343023508,-0.00158146942625539,0.112221399410906
"10","Phenotype","Ruminococcaceae_Flavonifractor","Diet",-0.00549059081012732,0.0646576199284149,0.206,0.018,0.992,0.0749538461538462,-0.0188157604581427,0.0018494621803565,0.00666654557563308,0.122996536025092
"11","Phenotype","Peptostreptococcaceae_Intestinibacter","Diet",-0.00606936167219958,0.0655653013694029,0.222,0.032,0.992,0.0749538461538462,-0.0222284913711292,0.00209288050948768,0.00728060637546259,0.125430139834884
"12","Phenotype","Fusobacteriaceae_Fusobacterium","Diet",0.00583105223343113,0.053856148577898,0.238,0.08,0.992,0.084,-0.00233288569382983,0.0215468175242056,-0.00665709214536844,0.11434143822322
"13","Phenotype","Bacillales_unclassified_Gemella","Diet",0.00522570292427604,0.0541188158218701,0.278,0.048,0.992,0.0749538461538462,-0.00408649983079411,0.0191569626598479,0.000885260435020024,0.113606031387018
"14","Phenotype","Veillonellaceae_Dialister","Diet",0.00435929696535607,0.0548688652517146,0.292,0.07,0.992,0.0784,-0.00328601668680614,0.0153062396571966,-0.00207457059530332,0.11567765954751
"15","Phenotype","Lachnospiraceae_Dorea","Diet",-0.00400907051035002,0.0630807994435499,0.308,0.028,0.992,0.0749538461538462,-0.0129688159168091,0.00328392931588876,0.00701736319098525,0.127915581843533
"16","Phenotype","Veillonellaceae_Veillonella","Diet",0.00601380407235131,0.0526061281601513,0.308,0.066,0.992,0.0784,-0.00516619056401548,0.0202265032553312,-0.00309537437157584,0.111043685242134
"17","Phenotype","Ruminococcaceae_Ruminococcaceae_unclassified","Diet",0.00385876865791891,0.0552679620882117,0.338,0.054,0.992,0.0749538461538462,-0.00343255476333471,0.0148460381525788,-0.000580740441557603,0.115519685416727
"18","Phenotype","Ruminococcaceae_Ruthenibacterium","Diet",-0.00619730128221787,0.0654570439357149,0.342,0.038,0.992,0.0749538461538462,-0.0208647608618943,0.00531662257399134,0.00583140190830064,0.122080971399054
"19","Phenotype","Akkermansiaceae_Akkermansia","Diet",0.00896395592615897,0.0518334793411995,0.356,0.066,0.992,0.0784,-0.00958229148120425,0.0278116028555157,-0.00585400159948248,0.109537266778862
"20","Phenotype","Lactobacillaceae_Lactobacillus","Diet",0.00448538810908731,0.0545523587147363,0.372,0.076,0.992,0.0818461538461538,-0.00435531438640222,0.0162231069628444,-0.00504923042757142,0.113121912935194
"21","Phenotype","Clostridiaceae_Hungatella","Diet",0.00401604817644226,0.0550176223677798,0.384,0.07,0.992,0.0784,-0.00547659856611504,0.0163431450569201,-0.00554701017144602,0.118617246410391
"22","Phenotype","Actinomycetaceae_Actinomyces","Diet",0.0031482957695947,0.0562384026737609,0.39,0.056,0.992,0.0749538461538462,-0.00265090733675393,0.0151173329062814,-0.00200583750585705,0.12011965327456
"23","Phenotype","Eggerthellaceae_Eggerthella","Diet",-0.00333313837050226,0.0627700095617535,0.446,0.028,0.992,0.0749538461538462,-0.0154668520598912,0.00453201171186298,0.0102436362363715,0.118719621442414
"24","Phenotype","Lachnospiraceae_Coprococcus","Diet",-0.00362132383922415,0.0623685168634965,0.458,0.032,0.992,0.0749538461538462,-0.0170969044157132,0.00585757793007697,0.00459652728882854,0.116831073297563
"25","Phenotype","Lachnospiraceae_Fusicatenibacter","Diet",0.00565038502160883,0.0530472200881157,0.464,0.046,0.992,0.0749538461538462,-0.0117523623773183,0.0226827565735674,0.00166088338443776,0.114595438408171
"26","Phenotype","Victivallaceae_Victivallis","Diet",0.00320753980300131,0.0562588315225277,0.474,0.078,0.992,0.0829367088607595,-0.00492870240126373,0.0151218201740379,-0.00497094597331737,0.114876243082606
"27","Phenotype","Ruminococcaceae_Faecalibacterium","Diet",0.00321701225361461,0.0561629209358239,0.474,0.054,0.992,0.0749538461538462,-0.00511527684188898,0.0164562640622019,-0.00199792081622275,0.124965497995497
"28","Phenotype","Lachnospiraceae_Lachnoclostridium","Diet",-0.00388618996231394,0.0632417615355851,0.514,0.022,0.992,0.0749538461538462,-0.020065571973583,0.00818112841353483,0.010299539564792,0.11884440448943
"29","Phenotype","Peptostreptococcaceae_Romboutsia","Diet",0.00284110562583161,0.056152232272774,0.526,0.046,0.992,0.0749538461538462,-0.00600308922776553,0.013729901478722,0.000882379276896931,0.117369399457901
"30","Phenotype","Clostridiaceae_Clostridium","Diet",0.0021853591963028,0.0571785733206045,0.528,0.072,0.992,0.0795789473684211,-0.00451075785596454,0.0116367488940273,-0.00397574219045696,0.114754941252888
"31","Phenotype","Eggerthellaceae_Adlercreutzia","Diet",-0.00231840642269428,0.0619607486294285,0.54,0.048,0.992,0.0749538461538462,-0.0124125600950807,0.0039930472224775,0.00143686263724181,0.118892791820273
"32","Phenotype","Ruminococcaceae_Anaerotruncus","Diet",0.00240585577847986,0.0566039695005715,0.546,0.048,0.992,0.0749538461538462,-0.00490910317110363,0.0118427117426927,0.000630729573014318,0.116648187255303
"33","Phenotype","Erysipelotrichaceae_Holdemania","Diet",-0.00232879325541478,0.0618317532062628,0.586,0.046,0.992,0.0749538461538462,-0.0147023096592079,0.00599198186037287,0.00169708234663251,0.120938251387316
"34","Phenotype","Acidaminococcaceae_Phascolarctobacterium","Diet",0.00197456528346829,0.0573190437146779,0.604,0.038,0.992,0.0749538461538462,-0.0041006445946579,0.0108966999265331,0.00380547342834112,0.117180446882056
"35","Phenotype","Eggerthellaceae_Asaccharobacter","Diet",-0.00151212459269963,0.0608703209065279,0.636,0.038,0.992,0.0749538461538462,-0.0097210983102849,0.00414830869412217,0.00246297945421299,0.118899254469228
"36","Phenotype","Streptococcaceae_Streptococcus","Diet",-0.00160724694966094,0.0609338998734283,0.638,0.044,0.992,0.0749538461538462,-0.0100714378895123,0.00398954689536618,0.00343417781482122,0.124991128892639
"37","Phenotype","Leuconostocaceae_Leuconostoc","Diet",-0.00150836947737874,0.0603955335956273,0.656,0.024,0.992,0.0749538461538462,-0.0098497951531538,0.00556435355988131,0.00950445930083342,0.120127129643326
"38","Phenotype","Enterobacteriaceae_Escherichia","Diet",0.00123946189137789,0.058015017966905,0.658,0.05,0.992,0.0749538461538462,-0.0043141061876651,0.00934216669711497,-4.60064921518141e-06,0.12122920688467
"39","Phenotype","Lachnospiraceae_Roseburia","Diet",0.00200014964249673,0.0572324219413142,0.66,0.056,0.992,0.0749538461538462,-0.00529210264736118,0.0126813028552694,-0.00162038920203501,0.115725747405802
"40","Phenotype","Ruminococcaceae_Anaeromassilibacillus","Diet",0.00144106737076426,0.0577299055628549,0.668,0.068,0.992,0.0784,-0.00459698171056781,0.009239549401792,-0.00406837010717569,0.117614967229868
